TICKER,NAME,SECTEUR,PEA-PME,ISIN,INDICE,HREF_BOURSEDIRECT,HREF_RENDEMENTBOURSE
AB,AB Science,Santé,1,FR0010557264,CAC_SMALL,ab-science-FR0010557264-AB-EUR-XPAR,/ab-ab-science
ABCA,ABC Arbitrage,Finance,1,FR0004040608,CAC_SMALL,abc-arbitrage-FR0004040608-ABCA-EUR-XPAR,/abca-abc-arbitrage-sa
ABEO,ABEO SA,Consommation discrétionnaire,1,FR0013185857,CAC_SMALL,abeo-sa-FR0013185857-ABEO-EUR-XPAR,/abeo-abeo
ABNX,ABIONYX Pharma,Santé,1,FR0012616852,CAC_SMALL,abionyx-pharma-FR0012616852-ABNX-EUR-XPAR,/abnx-abionyx-pharma
ABVX,Abivax,Santé,0,FR0012333284,CAC_SMALL,abivax-FR0012333284-ABVX-EUR-XPAR,/abvx-abivax
AC,Accor,Consommation discrétionnaire,0,FR0000120404,CAC_NEXT_20,accor-FR0000120404-AC-EUR-XPAR,/ac-accor
EOS,Acteos,Technologies,1,FR0000076861,CAC_SMALL,acteos-FR0000076861-EOS-EUR-XPAR,/eos-acteos
ADOC,Adocia,Santé,1,FR0011184241,CAC_SMALL,adocia-FR0011184241-ADOC-EUR-XPAR,/adoc-adocia
ADUX,AdUx,Télécommunications,1,FR0012821890,CAC_SMALL,adux-FR0012821890-ADUX-EUR-XPAR,/adux-adux
ADP,Aéroports de Paris,Industrie,0,FR0010340141,CAC_NEXT_20,aeroports-de-paris-FR0010340141-ADP-EUR-XPAR,/adp-aeroport-de-paris-adp
AF,Air France-KLM,Industrie,0,FR001400J770,CAC_NEXT_20,air-france-klm-FR001400J770-AF-EUR-XPAR,/af-air-france-klm-sa
AI,L'Air Liquide,Matériaux,0,FR0000120073,CAC_40,l-air-liquide-FR0000120073-AI-EUR-XPAR,/ai-air-liquide
AKW,AKWEL,Consommation discrétionnaire,0,FR0000053027,CAC_SMALL,akwel-FR0000053027-AKW-EUR-XPAR,/akw-akwel
AYV,ALD Automotive,Industrie,0,FR0013258662,CAC_MID_60,ald-FR0013258662-ALD-EUR-XPAR,/ald-ald
CDA,Compagnie des Alpes,Consommation discrétionnaire,0,FR0000053324,CAC_SMALL,compagnie-des-alpes-FR0000053324-CDA-EUR-XPAR,/cda-alpes-compagnie
ALO,Alstom,Industrie,0,FR0010220475,CAC_NEXT_20,alstom-FR0010220475-ALO-EUR-XPAR,/alo-alstom
ALTA,Altarea,Immobilier,0,FR0000033219,CAC_MID_60,altarea-FR0000033219-ALTA-EUR-XPAR,/alta-altarea
ATE,Alten,Technologies,0,FR0000071946,CAC_MID_60,alten-FR0000071946-ATE-EUR-XPAR,/ate-alten
AMUN,Amundi,Finance,0,FR0004125920,CAC_MID_60,amundi-FR0004125920-AMUN-EUR-XPAR,/amun-amundi
ANTIN,ANTIN INFRASTRUCTURE PARTNERS,Finance,0,FR0014005AL0,CAC_MID_60,antin-infrastructure-partners-FR0014005AL0-ANTIN-EUR-XPAR,/antin-antin-infrastructure-partners
ARAMI,Aramis Group,Consommation discrétionnaire,0,FR0014003U94,CAC_SMALL,aramis-group-FR0014003U94-ARAMI-EUR-XPAR,/arami-aramis-group
AKE,Arkema,Matériaux,0,FR0010313833,CAC_NEXT_20,arkema-FR0010313833-AKE-EUR-XPAR,/ake-arkema
PRC,Artmarket.com,Télécommunications,1,FR0000074783,CAC_SMALL,artmarket-com-FR0000074783-PRC-EUR-XPAR,/prc-artmarket-com
ASY,Assystem,Industrie,0,FR0000074148,CAC_SMALL,assystem-FR0000074148-ASY-EUR-XPAR,/asy-assystem-sa
ATLD,ATLAND,Immobilier,0,FR0013455482,CAC_SMALL,atland-FR0013455482-ATLD-EUR-XPAR,/atld-atland
ATO,AtoS SE,Technologies,0,FR0000051732,CAC_MID_60,atos-se-FR0000051732-ATO-EUR-XPAR,/ato-atos
AUB,Aubay,Technologies,0,FR0000063737,CAC_SMALL,aubay-FR0000063737-AUB-EUR-XPAR,/aub-aubay
AURE,AUREA,Industrie,1,FR0000039232,CAC_SMALL,aurea-FR0000039232-AURE-EUR-XPAR,/aure-aurea
AVT,Avenir Telecom,Technologies,1,FR001400CFI7,CAC_SMALL,avenir-telecom-FR001400CFI7-AVT-EUR-XPAR,/avt-avenir-telecom
CS,AXA,Finance,0,FR0000120628,CAC_40,axa-FR0000120628-CS-EUR-XPAR,/cs-axa
BALYO,Balyo,Industrie,1,FR0013258399,CAC_SMALL,balyo-FR0013258399-BALYO-EUR-XPAR,/balyo-balyo
BLC,Bastide Le Confort Médical,Santé,1,FR0000035370,CAC_SMALL,bastide-le-confort-medical-FR0000035370-BLC-EUR-XPAR,/blc-bastide-le-confort
BLV,Believe,Consommation discrétionnaire,0,FR0014003FE9,CAC_SMALL,believe-FR0014003FE9-BLV-EUR-XPAR,/blv-believe
BEN,Bénéteau,Consommation discrétionnaire,0,FR0000035164,CAC_MID_60,beneteau-FR0000035164-BEN-EUR-XPAR,/ben-beneteau
BB,BIC,Consommation de base,0,FR0000120966,CAC_MID_60,bic-FR0000120966-BB-EUR-XPAR,/bb-bic
BIG,Bigben Interactive,Technologies,1,FR0000074072,CAC_SMALL,bigben-interactive-FR0000074072-BIG-EUR-XPAR,/big-bigben-interactive
BIM,bioMérieux,Santé,0,FR0013280286,CAC_NEXT_20,biomerieux-FR0013280286-BIM-EUR-XPAR,/bim-biomerieux
BNP,BNP Paribas,Finance,0,FR0000131104,CAC_40,bnp-paribas-act-a-FR0000131104-BNP-EUR-XPAR,/bnp-bnp-paribas
BOI,Boiron,Santé,1,FR0000061129,CAC_SMALL,boiron-FR0000061129-BOI-EUR-XPAR,/boi-boiron
BOL,Bolloré SE,Télécommunications,0,FR0000039299,CAC_MID_60,bollore-se-FR0000039299-BOL-EUR-XPAR,/bol-bollore
BON,Bonduelle,Consommation de base,0,FR0000063935,CAC_SMALL,bonduelle-FR0000063935-BON-EUR-XPAR,/bon-bonduelle
EN,Bouygues SA,Industrie,0,FR0000120503,CAC_40,bouygues-sa-FR0000120503-EN-EUR-XPAR,/en-bouygues
BVI,Bureau Veritas SA,Industrie,0,FR0006174348,CAC_NEXT_20,bureau-veritas-sa-FR0006174348-BVI-EUR-XPAR,/bvi-bureau-veritas-sa
CAFO,Cafom,Consommation discrétionnaire,1,FR0010151589,CAC_SMALL,cafom-FR0010151589-CAFO-EUR-XPAR,/cafo-cafom
CAP,Capgemini SE,Technologies,0,FR0000125338,CAC_40,capgemini-se-FR0000125338-CAP-EUR-XPAR,/cap-capgemini-se
CARM,CARMILA,Immobilier,0,FR0010828137,CAC_MID_60,carmila-FR0010828137-CARM-EUR-XPAR,/carm-carmila
CA,Carrefour,Consommation de base,0,FR0000120172,CAC_40,carrefour-FR0000120172-CA-EUR-XPAR,/ca-carrefour
CO,"Casino, Guichard-Perrachon SA",Consommation de base,0,FR0000125585,CAC_MID_60,casino-guichard-perrachon-sa-FR0000125585-CO-EUR-XPAR,/co-casino-guichard
CATG,Catana Group,Consommation discrétionnaire,1,FR0010193052,CAC_SMALL,catana-group-FR0010193052-CATG-EUR-XPAR,/catg-catana-group
CBOT,CBO TERRITORIA,Immobilier,1,FR0010193979,CAC_SMALL,cbo-territoria-FR0010193979-CBOT-EUR-XPAR,/cbot-cbo-territoria-sa
CGM,Cegedim,Santé,0,FR0000053506,CAC_SMALL,cegedim-FR0000053506-CGM-EUR-XPAR,/cgm-cegedim
VIRI,CGG,Energie,0,FR0013181864,CAC_MID_60,viridien-FR0013181864-CGG-EUR-XPAR,/cgg-cgg
CRI,Chargeurs,Consommation discrétionnaire,1,FR0000130692,CAC_SMALL,chargeurs-FR0000130692-CRI-EUR-XPAR,/cri-chargeurs-sa
CLA,Claranova SE,Technologies,1,FR0013426004,CAC_SMALL,claranova-se-FR0013426004-CLA-EUR-XPAR,/cla-claranova
COFA,Coface,Finance,0,FR0010667147,CAC_MID_60,coface-FR0010667147-COFA-EUR-XPAR,/cofa-coface
COV,COVIVIO,Immobilier,0,FR0000064578,CAC_MID_60,covivio-FR0000064578-COV-EUR-XPAR,/cov-covivio
ACA,Crédit Agricole,Finance,0,FR0000045072,CAC_40,credit-agricole-FR0000045072-ACA-EUR-XPAR,/aca-credit-agricole
BN,Danone,Consommation de base,0,FR0000120644,CAC_40,danone-FR0000120644-BN-EUR-XPAR,/bn-danone
AM,Dassault Aviation,Industrie,0,FR0014004L86,CAC_MID_60,dassault-aviation-FR0014004L86-AM-EUR-XPAR,/am-dassault-aviation-sa
DSY,Dassault Systèmes SE,Technologies,0,FR0014003TT8,CAC_40,dassault-systemes-se-FR0014003TT8-DSY-EUR-XPAR,/dsy-dassault-systemes-sa
DBV,DBV Technologies,Santé,1,FR0010417345,CAC_SMALL,dbv-technologies-FR0010417345-DBV-EUR-XPAR,/dbv-dbv-technologies-sa
DKUPL,Dékuple,Télécommunications,1,FR0000062978,CAC_SMALL,dekuple-FR0000062978-DKUPL-EUR-XPAR,/alp-adl-partner
DBG,Derichebourg,Industrie,0,FR0000053381,CAC_MID_60,derichebourg-FR0000053381-DBG-EUR-XPAR,/dbg-derichebourg-sa
EDEN,Edenred SE,Finance,0,FR0010908533,CAC_NEXT_20,edenred-se-FR0010908533-EDEN-EUR-XPAR,/eden-edenred
FGR,Eiffage S.A.,Industrie,0,FR0000130452,CAC_NEXT_20,eiffage-s-a-FR0000130452-FGR-EUR-XPAR,/fgr-eiffage
EKI,Ekinops,Technologies,0,FR0011466069,CAC_SMALL,ekinops-FR0011466069-EKI-EUR-XPAR,/eki-ekinops
ELIOR,Elior Group,Consommation discrétionnaire,0,FR0011950732,CAC_MID_60,elior-group-FR0011950732-ELIOR-EUR-XPAR,/elior-elior-group
ELIS,Elis,Industrie,0,FR0012435121,CAC_MID_60,elis-FR0012435121-ELIS-EUR-XPAR,/elis-elis
ENGI,Engie,Services aux collectivités,0,FR0010208488,CAC_40,engie-FR0010208488-ENGI-EUR-XPAR,/engi-engie
EQS,Equasens,Santé,1,FR0012882389,CAC_SMALL,equasens-FR0012882389-EQS-EUR-XPAR,/eqs-equasens
